of clubs,♣
of diamonds,♦
of heart,♥
of spades,♠
~=,≈
approximately equal,≈
===,≡
+-,±
plus or minus,±
-+,∓
multiplied by,×
/,÷
divided by,÷
cbrt,∛
cube root,∛
integral,∫
sum,∑
->,→
<-,←
<->,↔
=>,⇒
<=,⇐
<=>,⇔
degree,°
degrees,°
ohm,Ω
ohms,Ω
pi,π
infinity,∞
approximately,≈
approx,≈
1st,1ˢᵗ
2nd,2ⁿᵈ
3rd,3ʳᵈ
4th,4ᵗʰ
5th,5ᵗʰ
6th,6ᵗʰ
7th,7ᵗʰ
8th,8ᵗʰ
9th,9ᵗʰ
10th,10ᵗʰ
^0,⁰
^1,¹
^2,²
^3,³
^4,⁴
^5,⁵
^6,⁶
^7,⁷
^8,⁸
^9,⁹
__0,₀
__1,₁
__2,₂
__3,₃
__4,₄
__5,₅
__6,₆
__7,₇
__8,₈
__9,₉
1/2,½
1/4,¼
3/4,¾
1/3,⅓
2/3,⅔
1/5,⅕
2/5,⅖
3/5,⅗
4/5,⅘
1/6,⅙
5/6,⅚
1/8,⅛
3/8,⅜
5/8,⅝
7/8,⅞
alpha,α
beta,β
gamma,γ
delta,δ
epsilon,ε
zeta,ζ
eta,η
theta,θ
iota,ι
kappa,κ
lambda,λ
mu,μ
nu,ν
xi,ξ
rho,ρ
sigma,σ
tau,τ
phi,φ
chi,χ
psi,ψ
omega,ω
Alpha,Α
Beta,Β
Gamma,Γ
Delta,Δ
Epsilon,Ε
Zeta,Ζ
Eta,Η
Theta,Θ
Iota,Ι
Kappa,Κ
Lambda,Λ
Mu,Μ
Nu,Ν
Xi,Ξ
Omicron,Ο
Pi,Π
Rho,Ρ
Sigma,Σ
Tau,Τ
Upsilon,Υ
Phi,Φ
Chi,Χ
Psi,Ψ
Omega,Ω
dollar,$
euro,€
pound,£
yen,¥
cent,¢
degree,°
celsius,℃ 
fahrenheit,℉
micro,µ
ohm,Ω
registered,®
copyright,©
trademark,™
left arrow,←
right arrow,→
up arrow,↑
down arrow,↓
double left arrow,⇐
double right arrow,⇒
double up arrow,⇑
double down arrow,⇓
left right arrow,↔
square root,√
cube root,∛
fourth root,∜
male,♂
female,♀
smiley emoji,☺
frowny emoji,☹
sun emoji,☼
phone emoji,☎
envelope emoji,✉
music note,♪ 
peace sign,☮
yin yang,☯
check mark,✓
cross mark,✗
w/,with
w/o,without
asap,as soon as possible
brb,Be right back
omw,On my way
afaik,As far as I know
btw,By the way
idk,I don't know.
imo,In my opinion
imho,In my humble opinion
imnsho,In my not-so-humble opinion
ttyl,Talk to you later.
np,No problem.
~~~ddate,[DATE]
~~~date,[DATE]
~~~ttime,[TIME]
~~~time,[TIME]
~~~datetime,[DATE TIME]

